seqnames,start,end,width,strand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr9,118631185,118631585,401,*,152228,0,Distal Intergenic,9,118592786,118597253,4468,2,105376249,ENST00000770014.1,-33932,NA,LOC105376249,uncharacterized LOC105376249
chr7,136303041,136303441,401,*,138564,0,Promoter (<=1kb),7,136304411,136437444,133034,1,105375523,ENST00000670875.1,-970,ENSG00000232053,LOC105375523,uncharacterized LOC105375523
chr1,246171858,246172258,401,*,14649,0,Intron (ENST00000630181.2/64754, intron 5 of 11),1,245858562,246193727,335166,2,64754,ENST00000391836.3,21469,ENSG00000185420,SMYD3,SET and MYND domain containing 3
chr3,75978712,75979112,401,*,97771,0,Intron (ENST00000487694.7/6092, intron 2 of 26),3,75906802,77647412,1740611,1,6092,ENST00000471893.2,71910,ENSG00000185008,ROBO2,roundabout guidance receptor 2
chr9,98607793,98608193,401,*,150863,0,Promoter (<=1kb),9,98473336,98607650,134315,2,9568,ENST00000634227.1,-143,ENSG00000136928,GABBR2,gamma-aminobutyric acid type B receptor subunit 2
chr5,138989691,138990091,401,*,118870,0,Intron (ENST00000394817.7/64374, intron 7 of 9),5,139010993,139012991,1999,1,124901080,ENST00000758801.1,-20902,NA,LOC124901080,uncharacterized LOC124901080
chr6,99951141,99951541,401,*,127036,0,Intron (ENST00000281806.7/84539, intron 2 of 5),6,99993897,100076426,82530,1,728012,ENST00000664329.2,-42356,ENSG00000229315,MCHR2-AS1,MCHR2 antisense RNA 1
chr10,48800886,48801286,401,*,17460,0,Promoter (1-2kb),10,48802738,48824169,21432,1,57705,ENST00000374161.7,-1452,ENSG00000128815,WDFY4,WDFY family member 4
chr4,172602834,172603234,401,*,111601,0,Intron (ENST00000506823.6/442117, intron 5 of 12),4,172649970,172688958,38989,2,101928314,ENST00000793856.1,85724,NA,GALNTL6-AS1,GALNTL6 antisense RNA 1
chr6,72699153,72699553,401,*,126079,0,Intron (ENST00000342056.6/56479, intron 1 of 14),6,72622190,73198816,576627,1,56479,ENST00000355194.9,76963,ENSG00000185760,KCNQ5,potassium voltage-gated channel subfamily Q member 5
chr18,62384638,62385038,401,*,66266,0,3' UTR,18,62357903,62360043,2141,1,8792,ENST00000587697.1,26735,ENSG00000141655,TNFRSF11A,TNF receptor superfamily member 11a
chr2,211822830,211823230,401,*,82056,0,Intron (ENST00000342788.9/2066, intron 3 of 27),2,211725152,211960762,235611,2,2066,ENST00000484474.1,137532,ENSG00000178568,ERBB4,erb-b2 receptor tyrosine kinase 4
chr16,65500869,65501269,401,*,55184,0,Intron (ENST00000663911.1/283867, intron 2 of 7),16,65285024,65571789,286766,2,283867,ENST00000564041.5,70520,ENSG00000261742,LINC00922,long intergenic non-protein coding RNA 922
chr1,110285382,110285782,401,*,7390,0,Distal Intergenic,1,110292260,110312704,20445,2,440600,ENST00000748903.1,26922,ENSG00000227963,RBM15-AS1,RBM15 antisense RNA 1
chr1,152474020,152474420,401,*,8696,0,Distal Intergenic,1,152510803,152512177,1375,1,254910,ENST00000334269.3,-36383,ENSG00000186207,LCE5A,late cornified envelope 5A
chr1,57506295,57506695,401,*,4572,0,Intron (ENST00000485760.5/1600, intron 7 of 20),1,56994778,57424060,429283,2,1600,ENST00000371236.7,-82235,ENSG00000173406,DAB1,DAB adaptor protein 1
chr9,97906125,97906525,401,*,150806,0,Intron (ENST00000718443.1/51531, intron 4 of 5),9,97904534,97912471,7938,2,51531,ENST00000375118.1,5946,ENSG00000136932,TRMO,tRNA methyltransferase O
chr6,65745597,65745997,401,*,125903,0,Distal Intergenic,6,63719980,65707226,1987247,2,346007,ENST00000503581.6,-38371,ENSG00000188107,EYS,EGF-like photoreceptor maintenance factor
chrUn_GL000218v1,82701,83101,401,*,153941,0,Intron (ENST00000781425.1/100233156, intron 2 of 3),333,46852,95282,48431,2,100233156,ENST00000781548.1,12181,ENSG00000301761,LOC100233156,tektin 4 pseudogene
chr17,49815975,49816375,401,*,60657,0,Promoter (<=1kb),17,49815607,49829089,13483,1,11143,ENST00000706641.1,368,ENSG00000136504,KAT7,lysine acetyltransferase 7
chr4,10998830,10999230,401,*,104958,0,Distal Intergenic,4,11259777,11280802,21026,1,105374488,ENST00000811277.1,-260547,NA,LOC105374488,uncharacterized LOC105374488
chr9,135857442,135857842,401,*,153682,0,Intron (ENST00000389532.9/157922, intron 5 of 16),9,135849857,135862561,12705,2,157922,ENST00000492174.1,4719,ENSG00000130559,CAMSAP1,calmodulin regulated spectrin associated protein 1
chr19,36310503,36310903,401,*,69338,0,Promoter (<=1kb),19,36309652,36321258,11607,1,100134317,ENST00000657631.1,851,ENSG00000267053,CYKILR,cyclin dependent kinase inhibitor 2A regulated lncRNA
chr6,85792291,85792691,401,*,126751,0,Distal Intergenic,6,85673791,85678943,5153,2,387066,ENST00000655116.2,-113348,ENSG00000203875,SNHG5,small nucleolar RNA host gene 5
chr11,9143752,9144152,401,*,23137,0,Promoter (<=1kb),11,9139503,9144179,4677,2,23258,ENST00000528725.5,27,ENSG00000184014,DENND5A,DENN domain containing 5A
chr2,182148449,182148849,401,*,80503,0,Intron (ENST00000462938.6/5136, intron 14 of 15),2,182103601,182117917,14317,1,151242,ENST00000494189.1,44848,ENSG00000150722,PPP1R1C,protein phosphatase 1 regulatory inhibitor subunit 1C
chr4,43468486,43468886,401,*,106281,0,Intron (ENST00000508563.1/105374436, intron 1 of 2),4,43457527,43492543,35017,2,105374436,ENST00000508563.1,23657,ENSG00000248143,LINC02383,long intergenic non-protein coding RNA 2383
chr15,65525581,65525981,401,*,49796,0,Distal Intergenic,15,65530418,65576673,46256,1,51495,ENST00000562901.5,-4437,ENSG00000074696,HACD3,3-hydroxyacyl-CoA dehydratase 3
chr10,108789916,108790316,401,*,20999,0,Intron (ENST00000653086.1/105378478, intron 3 of 4),10,108710518,108839363,128846,1,105378478,ENST00000421481.1,79398,ENSG00000223381,LINC02661,long intergenic non-protein coding RNA 2661
chr20,38418613,38419013,401,*,86668,0,Promoter (1-2kb),20,38404893,38416797,11905,2,124904901,ENST00000422519.2,-1816,NA,LOC124904901,uncharacterized LOC124904901
chr5,108873172,108873572,401,*,117198,0,Intron (ENST00000281092.9/2241, intron 8 of 19),5,108897648,109187672,290025,1,2241,ENST00000438717.6,-24076,ENSG00000151422,FER,FER tyrosine kinase
chr6,34919630,34920030,401,*,124264,0,Intron (ENST00000360359.5/23294, intron 1 of 23),6,34889314,34989316,100003,1,23294,ENST00000650178.1,30316,ENSG00000064999,ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A
chr2,178854335,178854735,401,*,80318,0,Intron (ENST00000652826.1/105373766, intron 1 of 5),2,178830269,178837137,6869,2,285025,ENST00000472828.1,-17198,ENSG00000163492,CCDC141,coiled-coil domain containing 141
chr5,117375692,117376092,401,*,117627,0,Distal Intergenic,5,117415509,117546298,130790,1,728342,ENST00000514186.5,-39417,NA,LINC00992,long intergenic non-protein coding RNA 992
chr12,61757843,61758243,401,*,33847,0,Intron (ENST00000416284.8/338811, intron 2 of 4),12,61668302,61702771,34470,2,105369793,ENST00000668912.1,-55072,NA,LOC105369793,uncharacterized LOC105369793
chr3,157695168,157695568,401,*,101921,0,Distal Intergenic,3,157569501,157578466,8966,1,152078,ENST00000652117.1,125667,ENSG00000293490,SLC66A1LP,solute carrier family 66 member 1 like, pseudogene
chr3,124514738,124515138,401,*,99691,0,3' UTR,3,124504739,124675427,170689,1,8997,ENST00000393496.5,9999,ENSG00000160145,KALRN,kalirin RhoGEF kinase
chr4,102687652,102688052,401,*,108457,0,Intron (ENST00000647097.2/4126, intron 7 of 16),4,102631589,102722925,91337,2,4126,ENST00000645558.1,34873,ENSG00000109323,MANBA,mannosidase beta
chr8,102429830,102430230,401,*,144467,0,Intron (ENST00000818808.1/105375683, intron 1 of 1),8,102412973,102421185,8213,1,105375683,ENST00000818812.1,16857,NA,LOC105375683,uncharacterized LOC105375683
chr5,159518415,159518815,401,*,120441,0,Promoter (<=1kb),5,159518255,159522060,3806,1,105377684,ENST00000765014.1,160,NA,LOC105377684,uncharacterized LOC105377684
chr17,12315995,12316395,401,*,58018,0,Distal Intergenic,17,12124299,12143730,19432,1,6416,ENST00000536413.2,191696,ENSG00000065559,MAP2K4,mitogen-activated protein kinase kinase 4
chr4,159268070,159268470,401,*,111204,0,Promoter (<=1kb),4,159267905,159360155,92251,1,9693,ENST00000505026.2,165,ENSG00000109756,RAPGEF2,Rap guanine nucleotide exchange factor 2
chr20,43894499,43894899,401,*,86930,0,Promoter (<=1kb),20,43894639,43895468,830,1,105372626,ENST00000428529.2,0,ENSG00000233277,LINC01728,long intergenic non-protein coding RNA 1728
chr3,117872009,117872409,401,*,99327,0,Intron (ENST00000717962.1/4045, intron 1 of 6),3,117790673,117793765,3093,1,101926953,ENST00000482766.1,81336,NA,LOC101926953,uncharacterized LOC101926953
chr1,12249189,12249589,401,*,933,0,Exon (ENST00000620676.6/55187, exon 6 of 70),1,12253734,12257955,4222,1,55187,ENST00000489961.1,-4145,ENSG00000048707,VPS13D,vacuolar protein sorting 13 homolog D
chr18,58290078,58290478,401,*,65958,0,Promoter (<=1kb),18,58291202,58398154,106953,1,23327,ENST00000674517.1,-724,ENSG00000049759,NEDD4L,NEDD4 like E3 ubiquitin protein ligase
chr2,8214220,8214620,401,*,71336,0,Intron (ENST00000663636.1/339788, intron 1 of 5),2,8054608,8194038,139431,2,339789,ENST00000779383.1,-20182,ENSG00000236790,LINC00299,long intergenic non-protein coding RNA 299
chr17,3562887,3563287,401,*,57372,0,Distal Intergenic,17,3510502,3557812,47311,2,162514,ENST00000576742.6,-5075,ENSG00000167723,TRPV3,transient receptor potential cation channel subfamily V member 3
chr4,20820133,20820533,401,*,105393,0,Intron (ENST00000382152.7/80333, intron 3 of 8),4,20760068,20765790,5723,1,133015,ENST00000823829.1,60065,ENSG00000163138,PACRGL,parkin coregulated like
chr12,115096709,115097109,401,*,36899,0,Promoter (2-3kb),12,115094388,115095696,1309,1,102723639,ENST00000774894.1,2321,ENSG00000300895,LOC102723639,uncharacterized LOC102723639
chr3,191087363,191087763,401,*,103653,0,Intron (ENST00000843941.1/ENST00000843941.1, intron 1 of 1),3,191199241,191265615,66375,1,344901,ENST00000445281.5,-111478,ENSG00000188729,OSTN,osteocrin
chr18,62334066,62334466,401,*,66263,0,Intron (ENST00000269485.11/8792, intron 1 of 6),18,62325326,62336786,11461,1,8792,ENST00000592013.1,8740,ENSG00000141655,TNFRSF11A,TNF receptor superfamily member 11a
chr9,3516777,3517177,401,*,147307,0,Intron (ENST00000382004.7/5991, intron 1 of 17),9,3218297,3525983,307687,2,5991,ENST00000382004.7,8806,ENSG00000080298,RFX3,regulatory factor X3
chr6,36904093,36904493,401,*,124461,0,Intron (ENST00000359359.6/221477, intron 5 of 9),6,36885952,36928964,43013,1,221477,ENST00000480824.7,18141,ENSG00000198663,C6orf89,chromosome 6 open reading frame 89
chr1,154193749,154194149,401,*,8803,0,Promoter (<=1kb),1,154193665,154193743,79,2,100126346,ENST00000401119.3,-6,ENSG00000215938,MIR190B,microRNA 190b
chr7,129917917,129918317,401,*,138039,0,Intron (ENST00000355621.8/7328, intron 1 of 6),7,129830744,129937732,106989,2,7328,ENST00000649897.1,19415,ENSG00000186591,UBE2H,ubiquitin conjugating enzyme E2 H
chr18,50986718,50987118,401,*,65608,0,3' UTR,18,50968048,50984838,16791,1,55520,ENST00000591429.1,18670,ENSG00000141642,ELAC1,elaC ribonuclease Z 1
chr3,64355465,64355865,401,*,97079,0,Intron (ENST00000295902.11/166336, intron 2 of 8),3,64093870,64268174,174305,2,166336,ENST00000564377.6,-87291,ENSG00000163637,PRICKLE2,prickle planar cell polarity protein 2
chr9,107976768,107977168,401,*,151314,0,Intron (ENST00000798334.1/105376214, intron 1 of 1),9,108016811,108040645,23835,1,107987112,ENST00000798469.1,-39643,NA,LOC107987112,uncharacterized LOC107987112
chr15,67700030,67700430,401,*,49992,0,Promoter (2-3kb),15,67703358,67769929,66572,1,5607,ENST00000557869.2,-2928,ENSG00000137764,MAP2K5,mitogen-activated protein kinase kinase 5
chr18,45764036,45764436,401,*,65228,0,Intron (ENST00000586213.2/105372093, intron 3 of 5),18,45767928,45771639,3712,2,105372093,ENST00000729320.1,7203,NA,LOC105372093,uncharacterized LOC105372093
chr1,171717394,171717794,401,*,10004,0,Intron (ENST00000236192.12/8674, intron 4 of 7),1,171701092,171742060,40969,2,8674,ENST00000474047.5,24266,ENSG00000117533,VAMP4,vesicle associated membrane protein 4
chr8,117265674,117266074,401,*,145117,0,Promoter (<=1kb),8,117265217,117318864,53648,1,105375717,ENST00000754617.1,457,NA,LOC105375717,uncharacterized LOC105375717
chr17,50872750,50873150,401,*,60798,0,Intron (ENST00000523470.2/400604, intron 1 of 2),17,50862980,50867978,4999,2,10140,ENST00000268957.3,-4772,ENSG00000141232,TOB1,transducer of ERBB2, 1
chr7,118148969,118149369,401,*,137628,0,Distal Intergenic,7,118169067,118184015,14949,2,105375470,ENST00000806118.1,34646,NA,LOC105375470,uncharacterized LOC105375470
chr6,43610495,43610895,401,*,125013,0,Exon (ENST00000372236.9/5429, exon 10 of 11),6,43605316,43622167,16852,2,54676,ENST00000496137.5,11272,ENSG00000172432,GTPBP2,GTP binding protein 2
chr9,33576177,33576577,401,*,148473,0,Exon (ENST00000454116.1/ENST00000454116.1, exon 1 of 1),9,33567213,33602739,35527,1,441459,ENST00000703167.1,8964,ENSG00000230453,ANKRD18B,ankyrin repeat domain 18B
chr11,29483812,29484212,401,*,24342,0,Exon (ENST00000668970.2/ENST00000668970.2, exon 2 of 3),11,29564052,29630725,66674,1,105376606,ENST00000742805.1,-79840,ENSG00000255117,LINC02546,long intergenic non-protein coding RNA 2546
chr16,58378397,58378797,401,*,54990,0,Intron (ENST00000561952.1/ENST00000561952.1, intron 1 of 1),16,58392394,58405481,13088,1,64785,ENST00000426538.6,-13597,ENSG00000181938,GINS3,GINS complex subunit 3
chr5,58226226,58226626,401,*,114827,0,Intron (ENST00000738711.1/101928569, intron 1 of 6),5,58108207,58259496,151290,2,101928569,ENST00000738712.1,32870,ENSG00000248132,LINC02101,long intergenic non-protein coding RNA 2101
chr2,99475216,99475616,401,*,76486,0,Intron (ENST00000393445.7/51455, intron 1 of 22),2,99438574,99462788,24215,2,51455,ENST00000473819.1,-12428,ENSG00000135945,REV1,REV1 DNA directed polymerase
chr2,41736085,41736485,401,*,73560,0,Intron (ENST00000805042.1/ENST00000805042.1, intron 1 of 1),2,41860155,41894050,33896,1,388942,ENST00000653206.1,-123670,ENSG00000214691,LINC01913,long intergenic non-protein coding RNA 1913
chr8,98954648,98955048,401,*,144195,0,Distal Intergenic,8,98948392,98949591,1200,1,116039,ENST00000518199.1,6256,ENSG00000164920,OSR2,odd-skipped related transciption factor 2
chr2,213022198,213022598,401,*,82109,0,Intron (ENST00000451136.6/22807, intron 6 of 7),2,213006039,213015278,9240,2,22807,ENST00000484040.1,-6920,ENSG00000030419,IKZF2,IKAROS family zinc finger 2
chr8,116103018,116103418,401,*,145016,0,Intron (ENST00000505156.2/100859921, intron 7 of 13),8,115939658,115986708,47051,1,107986903,ENST00000764098.1,163360,NA,LOC107986903,uncharacterized LOC107986903
chr7,113891840,113892240,401,*,137401,0,Intron (ENST00000284601.4/5506, intron 1 of 3),7,113879771,113918996,39226,2,5506,ENST00000284602.1,26756,ENSG00000154415,PPP1R3A,protein phosphatase 1 regulatory subunit 3A
chr19,16453647,16454047,401,*,68448,0,Intron (ENST00000714540.1/58513, intron 1 of 24),19,16440653,16471943,31291,2,58513,ENST00000602151.1,17896,ENSG00000127527,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1
chr8,98185229,98185629,401,*,144126,0,Intron (ENST00000776745.1/ENST00000776745.1, intron 1 of 2),8,98195691,98205176,9486,2,79815,ENST00000521820.1,19547,ENSG00000104361,NIPAL2,NIPA like domain containing 2
chr1,93648703,93649103,401,*,6569,0,Promoter (<=1kb),1,93592306,93648822,56517,2,8412,ENST00000479503.2,0,ENSG00000137936,BCAR3,BCAR3 adaptor protein, NSP family member
chr20,45283668,45284068,401,*,87070,0,Intron (ENST00000823194.1/105372630, intron 1 of 1),20,45293445,45305591,12147,2,8785,ENST00000372754.5,21523,ENSG00000124159,MATN4,matrilin 4
chr7,43904922,43905322,401,*,134020,0,Promoter (<=1kb),7,43875894,43906311,30418,2,55665,ENST00000497914.5,989,ENSG00000106608,URGCP,upregulator of cell proliferation
chr3,104750552,104750952,401,*,98558,0,Intron (ENST00000721885.1/107986108, intron 3 of 3),3,104630013,104909979,279967,2,107986108,ENST00000721885.1,159027,NA,LOC107986108,uncharacterized LOC107986108
chr17,60947095,60947495,401,*,61274,0,Exon (ENST00000407086.8/54828, exon 14 of 24),17,60986857,61015785,28929,1,54828,ENST00000590352.1,-39362,ENSG00000141376,BCAS3,BCAS3 microtubule associated cell migration factor
chrX,72527094,72527494,401,*,156366,0,Intron (ENST00000647613.1/55869, intron 5 of 11),23,72329574,72495179,165606,2,55869,ENST00000650076.1,-31915,ENSG00000147099,HDAC8,histone deacetylase 8
chr17,3550641,3551041,401,*,57370,0,Intron (ENST00000576742.6/162514, intron 2 of 17),17,3510503,3546715,36213,2,162514,ENST00000616411.4,-3926,ENSG00000167723,TRPV3,transient receptor potential cation channel subfamily V member 3
chr3,120850904,120851304,401,*,99479,0,Intron (ENST00000658056.1/ENST00000658056.1, intron 2 of 4),3,120812075,120836418,24344,2,101926983,ENST00000720453.1,-14486,ENSG00000243593,LINC02049,long intergenic non-protein coding RNA 2049
chr12,100908493,100908893,401,*,35915,0,Intron (ENST00000549155.6/121601, intron 4 of 10),12,100987119,101042381,55263,1,121601,ENST00000549234.1,-78226,ENSG00000151572,ANO4,anoctamin 4
chr13,76647418,76647818,401,*,40757,0,Intron (ENST00000648060.1/105370264, intron 3 of 4),13,76664096,76693128,29033,1,105370266,ENST00000791457.1,-16278,NA,LOC105370266,uncharacterized LOC105370266
chr3,114035174,114035574,401,*,99119,0,Intron (ENST00000472599.5/79691, intron 1 of 4),3,114035094,114056487,21394,2,57577,ENST00000463695.1,20913,ENSG00000163617,CCDC191,coiled-coil domain containing 191
chr14,33657477,33657877,401,*,42950,0,Intron (ENST00000551634.6/64067, intron 4 of 10),14,33735214,33820863,85650,1,64067,ENST00000681323.1,-77337,ENSG00000151322,NPAS3,neuronal PAS domain protein 3
chr9,118957557,118957957,401,*,152235,0,Intron (ENST00000785114.1/ENST00000785114.1, intron 1 of 1),9,118740563,118745312,4750,1,111216287,ENST00000456032.1,216994,NA,LINC02578,long intergenic non-protein coding RNA 2578
chr4,152036603,152037003,401,*,110749,0,Intron (ENST00000671146.1/ENST00000671146.1, intron 3 of 3),4,152090459,152104720,14262,1,100996286,ENST00000651553.1,-53456,ENSG00000245954,LINC02273,long intergenic non-protein coding RNA 2273
chr2,178579032,178579432,401,*,80313,0,Exon (ENST00000603521.1/ENST00000603521.1, exon 1 of 1),2,178584573,178591298,6726,1,100506866,ENST00000590743.1,-5141,ENSG00000237298,TTN-AS1,TTN antisense RNA 1
chr8,42854573,42854973,401,*,141860,0,3' UTR,8,42836674,42843325,6652,2,55145,ENST00000254250.7,-11248,ENSG00000131931,THAP1,THAP domain containing 1
chr8,86522784,86523184,401,*,143415,0,Intron (ENST00000517490.6/8895, intron 2 of 16),8,86529063,86551233,22171,1,8895,ENST00000517391.5,-5879,ENSG00000085719,CPNE3,copine 3
chr4,152317119,152317519,401,*,110775,0,Distal Intergenic,4,152322875,152324436,1562,2,55294,ENST00000604316.1,6917,ENSG00000109670,FBXW7,F-box and WD repeat domain containing 7
chr13,20796800,20797200,401,*,38017,0,Exon (ENST00000255305.11/64328, exon 17 of 23),13,20728731,20773961,45231,2,221143,ENST00000382758.6,-22839,ENSG00000150456,EEF1AKMT1,EEF1A lysine methyltransferase 1
chr14,93970766,93971166,401,*,46249,0,Promoter (2-3kb),14,93954323,93974083,19761,2,51676,ENST00000557613.1,2917,ENSG00000100628,ASB2,ankyrin repeat and SOCS box containing 2
chr18,59763809,59764209,401,*,66122,0,Intron (ENST00000789532.1/ENST00000789532.1, intron 1 of 3),18,59430939,59697662,266724,2,147372,ENST00000649564.1,-66147,ENSG00000183287,CCBE1,collagen and calcium binding EGF domains 1
chr20,6685222,6685622,401,*,84897,0,Distal Intergenic,20,6731258,6736136,4879,2,105372516,ENST00000445589.1,50514,NA,LINC01713,long intergenic non-protein coding RNA 1713
chr3,149667536,149667936,401,*,101310,0,Promoter (2-3kb),3,149656978,149670909,13932,2,25937,ENST00000475579.1,2973,ENSG00000018408,WWTR1,WW domain containing transcription regulator 1
chr13,113647477,113647877,401,*,42194,0,Distal Intergenic,13,113648804,113658198,9395,2,496,ENST00000335288.5,10321,ENSG00000186009,ATP4B,ATPase H+/K+ transporting subunit beta
chr4,140367855,140368255,401,*,110125,0,Intron (ENST00000394205.7/60592, intron 2 of 4),4,140284823,140373360,88538,2,100129858,ENST00000664103.1,5105,ENSG00000196951,SCOC-AS1,SCOC antisense RNA 1
chr2,216860738,216861138,401,*,82378,0,Promoter (<=1kb),2,216859458,216860064,607,2,7141,ENST00000236979.2,-674,ENSG00000118245,TNP1,transition protein 1
chr5,148469486,148469886,401,*,119587,0,Promoter (<=1kb),5,148468918,148559984,91067,1,107986462,ENST00000771511.1,568,ENSG00000300418,LOC107986462,uncharacterized LOC107986462
chr3,38404329,38404729,401,*,95269,0,Intron (ENST00000207870.8/9942, intron 18 of 18),3,38376921,38421348,44428,1,9942,ENST00000472721.1,27408,ENSG00000093217,XYLB,xylulokinase
chr15,60843515,60843915,401,*,49366,0,Intron (ENST00000335670.11/6095, intron 1 of 10),15,60764740,60765625,886,1,105370844,ENST00000560864.1,78775,NA,RORA-AS4,RORA antisense RNA 4
chr16,1749717,1750117,401,*,52608,0,Promoter (2-3kb),16,1747068,1760343,13276,1,23162,ENST00000567849.1,2649,ENSG00000138834,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3
chr3,86578061,86578461,401,*,97974,0,Distal Intergenic,3,86659045,86719926,60882,1,101927518,ENST00000760376.1,-80584,ENSG00000299083,LOC101927518,uncharacterized LOC101927518
chr2,95539288,95539688,401,*,76255,0,Intron (ENST00000796882.1/ENST00000796882.1, intron 1 of 1),2,95524873,95526762,1890,2,127138865,ENST00000609975.3,-12526,ENSG00000272913,LINC03052,long intergenic non-protein coding RNA 3052
chr9,7172667,7173067,401,*,147558,0,Intron (ENST00000381309.8/23081, intron 21 of 21),9,7127907,7169884,41978,1,23081,ENST00000466673.1,44760,ENSG00000107077,KDM4C,lysine demethylase 4C
chr11,4511731,4512131,401,*,22890,0,Intron (ENST00000690302.2/ENST00000690302.2, intron 1 of 1),11,4482646,4493497,10852,1,390036,ENST00000642020.1,29085,ENSG00000196778,OR52K1,olfactory receptor family 52 subfamily K member 1
chr17,56213049,56213449,401,*,60943,0,Intron (ENST00000635860.2/162282, intron 4 of 22),17,56227917,56258359,30443,1,124904035,ENST00000573365.2,-14468,NA,LOC124904035,uncharacterized LOC124904035
chr1,92973151,92973551,401,*,6521,0,Distal Intergenic,1,92978265,92987367,9103,1,124904219,ENST00000664771.1,-4714,ENSG00000287797,LOC124904219,uncharacterized LOC124904219
chr18,21000634,21001034,401,*,64143,0,Intron (ENST00000635540.2/6093, intron 16 of 33),18,20969958,20982783,12826,2,6093,ENST00000583556.1,-17851,ENSG00000067900,ROCK1,Rho associated coiled-coil containing protein kinase 1
chr7,158672993,158673393,401,*,139467,0,Intron (ENST00000356309.8/54892, intron 12 of 27),7,158662240,158668195,5956,2,54892,ENST00000472591.2,-4798,ENSG00000146918,NCAPG2,non-SMC condensin II complex subunit G2
chr11,31725151,31725551,401,*,24407,0,Intron (ENST00000379163.10/26610, intron 9 of 10),11,31761912,31783632,21721,1,26610,ENST00000638384.1,-36361,ENSG00000109911,ELP4,elongator acetyltransferase complex subunit 4
chr4,114257518,114257918,401,*,109083,0,Distal Intergenic,4,114267894,114364876,96983,2,105377378,ENST00000769951.1,106958,ENSG00000288781,LOC105377378,uncharacterized LOC105377378
chr18,44900576,44900976,401,*,65138,0,Intron (ENST00000677068.1/26040, intron 3 of 5),18,44970082,44970166,85,2,100422829,ENST00000577285.1,69190,ENSG00000265957,MIR4319,microRNA 4319
chr10,68871391,68871791,401,*,18364,0,Intron (ENST00000298596.11/219736, intron 1 of 3),10,68901286,68913506,12221,1,79009,ENST00000483593.5,-29495,ENSG00000107625,DDX50,DExD-box helicase 50
chr20,60528137,60528537,401,*,88274,0,Intron (ENST00000668055.1/284757, intron 4 of 4),20,60550477,60553134,2658,1,124904945,ENST00000816984.1,-21940,NA,LOC124904945,uncharacterized LOC124904945
chr1,88883200,88883600,401,*,6294,0,Intron (ENST00000370500.10/2959, intron 2 of 6),1,88863986,88888048,24063,2,2959,ENST00000471296.5,4448,ENSG00000137947,GTF2B,general transcription factor IIB
chr4,68021198,68021598,401,*,106889,0,Intron (ENST00000500538.7/550112, intron 6 of 7),4,67991736,68015778,24043,2,644759,ENST00000822554.1,-5420,ENSG00000290400,TMPRSS11GP,transmembrane serine protease 11G, pseudogene
chr7,96954058,96954458,401,*,136478,0,Distal Intergenic,7,96978266,96980033,1768,2,285987,ENST00000841699.1,25575,NA,DLX6-AS1,DLX6 antisense RNA 1
chr11,124915528,124915928,401,*,29611,0,Promoter (1-2kb),11,124917607,124943728,26122,1,107984406,ENST00000828700.1,-1679,NA,LOC107984406,uncharacterized LOC107984406
chr12,57165733,57166133,401,*,33608,0,Promoter (1-2kb),12,57164428,57166412,1985,1,4035,ENST00000556830.1,1305,ENSG00000123384,LRP1,LDL receptor related protein 1
chr5,154267502,154267902,401,*,120039,0,Intron (ENST00000425427.6/55568, intron 1 of 6),5,154287470,154376367,88898,1,55568,ENST00000519571.1,-19568,ENSG00000164574,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10
chr12,53289879,53290279,401,*,33279,0,Promoter (1-2kb),12,53287881,53289460,1580,1,9700,ENST00000552600.1,1998,ENSG00000135476,ESPL1,extra spindle pole bodies like 1, separase
chr13,27393072,27393472,401,*,38406,0,Intron (ENST00000833686.1/124903138, intron 1 of 2),13,27383550,27406447,22898,1,124903138,ENST00000833687.1,9522,NA,LOC124903138,uncharacterized LOC124903138
chr15,92011804,92012204,401,*,51900,0,Intron (ENST00000318445.11/28232, intron 2 of 9),15,91941318,92104537,163220,1,28232,ENST00000556649.1,70486,ENSG00000176463,SLCO3A1,solute carrier organic anion transporter family member 3A1
chr18,21359746,21360146,401,*,64169,0,Intron (ENST00000424526.7/80000, intron 1 of 32),18,21363593,21525417,161825,1,80000,ENST00000580732.6,-3447,ENSG00000141449,GREB1L,GREB1 like retinoic acid receptor coactivator
chr2,166573418,166573818,401,*,79612,0,5' UTR,2,166477463,166611482,134020,2,107985958,ENST00000650747.1,37664,NA,LOC107985958,uncharacterized LOC107985958
chr3,17157608,17158008,401,*,94210,0,3' UTR,3,17042752,17056145,13394,2,100874003,ENST00000832884.1,-101463,NA,PLCL2-AS1,PLCL2 antisense RNA 1
chr8,127227886,127228286,401,*,146011,0,Intron (ENST00000645463.1/105375751, intron 6 of 6),8,127168359,127224476,56118,2,103021165,ENST00000641487.1,-3410,NA,CASC19,cancer susceptibility 19
chr12,54052634,54053034,401,*,33379,0,Promoter (<=1kb),12,54053835,54056030,2196,1,3221,ENST00000430889.3,-801,ENSG00000198353,HOXC4,homeobox C4
